2026-07-31 14:36:17 [INFO] === baseline_lstm  run_dir=C:\Users\user\Desktop\ansyu_li\tree_former\runs\20260731_143558 ===
2026-07-31 14:36:17 [INFO] Device: cuda
2026-07-31 14:36:17 [INFO] 
============================================================
  Each-Grid LSTM (Small)
============================================================
2026-07-31 14:36:17 [INFO]   Params: 369.9K
2026-07-31 14:39:24 [INFO]   [Each-Grid LSTM (Base)] Epoch  16/100 | Train: 0.08300 | Val: 0.09888 <- best | elapsed 26.3s | GPU 43/24564MB
2026-07-31 14:39:26 [INFO]   [Each-Grid LSTM (Base)] Epoch  17/100 | Train: 0.08230 | Val: 0.09878 <- best | elapsed 28.0s | GPU 43/24564MB
2026-07-31 14:39:27 [INFO]   [Each-Grid LSTM (Base)] Epoch  18/100 | Train: 0.08171 | Val: 0.09807 <- best | elapsed 29.6s | GPU 43/24564MB
2026-07-31 14:39:29 [INFO]   [Each-Grid LSTM (Base)] Epoch  19/100 | Train: 0.08106 | Val: 0.09753 <- best | elapsed 31.3s | GPU 43/24564MB
2026-07-31 14:39:31 [INFO]   [Each-Grid LSTM (Base)] Epoch  20/100 | Train: 0.08048 | Val: 0.09698 <- best | elapsed 32.9s | GPU 43/24564MB
2026-07-31 14:39:32 [INFO]   [Each-Grid LSTM (Base)] Epoch  21/100 | Train: 0.07998 | Val: 0.09718 | elapsed 34.6s | GPU 43/24564MB
2026-07-31 14:39:34 [INFO]   [Each-Grid LSTM (Base)] Epoch  22/100 | Train: 0.07945 | Val: 0.09662 <- best | elapsed 36.2s | GPU 43/24564MB
2026-07-31 14:39:36 [INFO]   [Each-Grid LSTM (Base)] Epoch  23/100 | Train: 0.07905 | Val: 0.09639 <- best | elapsed 37.9s | GPU 43/24564MB
2026-07-31 14:39:37 [INFO]   [Each-Grid LSTM (Base)] Epoch  24/100 | Train: 0.07856 | Val: 0.09575 <- best | elapsed 39.5s | GPU 43/24564MB
2026-07-31 14:39:39 [INFO]   [Each-Grid LSTM (Base)] Epoch  25/100 | Train: 0.07814 | Val: 0.09624 | elapsed 41.2s | GPU 43/24564MB
2026-07-31 14:39:41 [INFO]   [Each-Grid LSTM (Base)] Epoch  26/100 | Train: 0.07774 | Val: 0.09622 | elapsed 42.9s | GPU 43/24564MB
2026-07-31 14:39:42 [INFO]   [Each-Grid LSTM (Base)] Epoch  27/100 | Train: 0.07727 | Val: 0.09501 <- best | elapsed 44.5s | GPU 43/24564MB
2026-07-31 14:39:44 [INFO]   [Each-Grid LSTM (Base)] Epoch  28/100 | Train: 0.07687 | Val: 0.09502 | elapsed 46.2s | GPU 43/24564MB
2026-07-31 14:39:46 [INFO]   [Each-Grid LSTM (Base)] Epoch  29/100 | Train: 0.07649 | Val: 0.09522 | elapsed 47.8s | GPU 43/24564MB
2026-07-31 14:39:47 [INFO]   [Each-Grid LSTM (Base)] Epoch  30/100 | Train: 0.07616 | Val: 0.09472 <- best | elapsed 49.5s | GPU 43/24564MB
2026-07-31 14:39:49 [INFO]   [Each-Grid LSTM (Base)] Epoch  31/100 | Train: 0.07581 | Val: 0.09529 | elapsed 51.1s | GPU 43/24564MB
2026-07-31 14:39:50 [INFO]   [Each-Grid LSTM (Base)] Epoch  32/100 | Train: 0.07543 | Val: 0.09460 <- best | elapsed 52.8s | GPU 43/24564MB
2026-07-31 14:39:52 [INFO]   [Each-Grid LSTM (Base)] Epoch  33/100 | Train: 0.07505 | Val: 0.09435 <- best | elapsed 54.8s | GPU 43/24564MB
2026-07-31 14:39:55 [INFO]   [Each-Grid LSTM (Base)] Epoch  34/100 | Train: 0.07475 | Val: 0.09422 <- best | elapsed 56.9s | GPU 43/24564MB
2026-07-31 14:39:57 [INFO]   [Each-Grid LSTM (Base)] Epoch  35/100 | Train: 0.07435 | Val: 0.09407 <- best | elapsed 59.1s | GPU 43/24564MB
2026-07-31 14:39:59 [INFO]   [Each-Grid LSTM (Base)] Epoch  36/100 | Train: 0.07411 | Val: 0.09370 <- best | elapsed 61.2s | GPU 43/24564MB
2026-07-31 14:40:01 [INFO]   [Each-Grid LSTM (Base)] Epoch  37/100 | Train: 0.07379 | Val: 0.09429 | elapsed 63.3s | GPU 43/24564MB
2026-07-31 14:40:03 [INFO]   [Each-Grid LSTM (Base)] Epoch  38/100 | Train: 0.07345 | Val: 0.09356 <- best | elapsed 65.4s | GPU 43/24564MB
2026-07-31 14:40:05 [INFO]   [Each-Grid LSTM (Base)] Epoch  39/100 | Train: 0.07320 | Val: 0.09354 <- best | elapsed 67.5s | GPU 43/24564MB
2026-07-31 14:40:07 [INFO]   [Each-Grid LSTM (Base)] Epoch  40/100 | Train: 0.07293 | Val: 0.09387 | elapsed 69.6s | GPU 43/24564MB
2026-07-31 14:40:09 [INFO]   [Each-Grid LSTM (Base)] Epoch  41/100 | Train: 0.07264 | Val: 0.09338 <- best | elapsed 71.8s | GPU 43/24564MB
2026-07-31 14:40:12 [INFO]   [Each-Grid LSTM (Base)] Epoch  42/100 | Train: 0.07234 | Val: 0.09367 | elapsed 73.9s | GPU 43/24564MB
2026-07-31 14:40:14 [INFO]   [Each-Grid LSTM (Base)] Epoch  43/100 | Train: 0.07207 | Val: 0.09316 <- best | elapsed 76.1s | GPU 43/24564MB
2026-07-31 14:40:16 [INFO]   [Each-Grid LSTM (Base)] Epoch  44/100 | Train: 0.07185 | Val: 0.09306 <- best | elapsed 78.3s | GPU 43/24564MB
2026-07-31 14:40:18 [INFO]   [Each-Grid LSTM (Base)] Epoch  45/100 | Train: 0.07156 | Val: 0.09315 | elapsed 80.5s | GPU 43/24564MB
2026-07-31 14:40:20 [INFO]   [Each-Grid LSTM (Base)] Epoch  46/100 | Train: 0.07135 | Val: 0.09300 <- best | elapsed 82.3s | GPU 43/24564MB
2026-07-31 14:40:22 [INFO]   [Each-Grid LSTM (Base)] Epoch  47/100 | Train: 0.07109 | Val: 0.09272 <- best | elapsed 84.0s | GPU 43/24564MB
2026-07-31 14:40:23 [INFO]   [Each-Grid LSTM (Base)] Epoch  48/100 | Train: 0.07091 | Val: 0.09353 | elapsed 85.7s | GPU 43/24564MB
2026-07-31 14:40:25 [INFO]   [Each-Grid LSTM (Base)] Epoch  49/100 | Train: 0.07065 | Val: 0.09328 | elapsed 87.5s | GPU 43/24564MB
2026-07-31 14:40:27 [INFO]   [Each-Grid LSTM (Base)] Epoch  50/100 | Train: 0.07040 | Val: 0.09303 | elapsed 89.2s | GPU 43/24564MB
2026-07-31 14:40:29 [INFO]   [Each-Grid LSTM (Base)] Epoch  51/100 | Train: 0.07019 | Val: 0.09279 | elapsed 90.9s | GPU 43/24564MB
2026-07-31 14:40:30 [INFO]   [Each-Grid LSTM (Base)] Epoch  52/100 | Train: 0.06997 | Val: 0.09368 | elapsed 92.5s | GPU 43/24564MB
2026-07-31 14:40:32 [INFO]   [Each-Grid LSTM (Base)] Epoch  53/100 | Train: 0.06967 | Val: 0.09362 | elapsed 94.2s | GPU 43/24564MB
2026-07-31 14:40:34 [INFO]   [Each-Grid LSTM (Base)] Epoch  54/100 | Train: 0.06957 | Val: 0.09311 | elapsed 95.9s | GPU 43/24564MB
2026-07-31 14:40:35 [INFO]   [Each-Grid LSTM (Base)] Epoch  55/100 | Train: 0.06929 | Val: 0.09352 | elapsed 97.6s | GPU 43/24564MB
2026-07-31 14:40:37 [INFO]   [Each-Grid LSTM (Base)] Epoch  56/100 | Train: 0.06904 | Val: 0.09298 | elapsed 99.2s | GPU 43/24564MB
